title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Friday the 13th Part 2,en,5/1/1981,45.906,1250000,21722776,87,Released,"Horror, Thriller"
Leprechaun 3,en,7/4/1995,45.746,0,0,94,Released,"Comedy, Horror"
Restart The Earth,zh,8/4/2022,45.744,0,0,89,Released,"Action, Horror, Science Fiction"
A Nightmare on Elm Street,en,4/30/2010,45.628,35000000,115664037,95,Released,"Horror, Mystery, Thriller"
Redcon-1,en,9/7/2018,45.458,0,0,117,Released,"Action, Horror, Science Fiction"
A Classic Horror Story,it,7/14/2021,45.437,0,0,95,Released,"Horror, Mystery"
Bram Stoker's Dracula,en,11/13/1992,45.348,40000000,215862692,128,Released,"Horror, Romance"
Ouija,en,10/24/2014,45.058,5000000,103590271,89,Released,Horror
Escape the Undertaker,en,10/5/2021,44.884,0,0,31,Released,"Family, Horror, Mystery"
The Grudge,en,10/22/2004,44.825,10000000,183474602,92,Released,"Horror, Mystery, Thriller"
[REC]³ Genesis,es,3/30/2012,44.643,6400000,11019975,80,Released,Horror
Saw V,en,10/23/2008,44.561,10800000,113864059,95,Released,"Crime, Horror, Thriller"
A Nightmare on Elm Street,en,11/9/1984,44.489,1800000,25685134,91,Released,Horror
Fright Night,en,8/2/1985,44.473,9000000,24922237,106,Released,"Comedy, Horror"
"As Above, So Below",en,8/14/2014,44.415,5000000,40100000,93,Released,"Horror, Thriller"
Red Dot,sv,2/11/2021,44.072,0,0,86,Released,"Horror, Thriller"
Night of the Living Dead,en,10/19/1990,43.971,4200000,5835247,88,Released,"Horror, Thriller"
Scary Stories to Tell in the Dark,en,8/8/2019,43.866,25000000,95438172,108,Released,"Horror, Thriller"
The Wolf of Snow Hollow,en,10/23/2020,43.833,2000000,239828,84,Released,"Horror, Thriller"
Piggy,es,10/7/2022,43.78,2400000,0,100,Released,"Drama, Horror, Thriller"
Pet Sematary,en,4/21/1989,43.608,11500000,57469467,103,Released,"Drama, Horror"
Hypnotic,en,10/27/2021,43.596,0,0,89,Released,"Drama, Horror, Thriller"
Fresh,en,3/3/2022,43.347,0,0,114,Released,"Horror, Thriller"
Parasyte: Part 1,ja,11/29/2014,43.308,0,0,109,Released,"Horror, Science Fiction"
Interview with the Vampire,en,11/11/1994,42.674,60000000,223664608,123,Released,"Drama, Fantasy, Horror"
Saw VI,en,10/16/2009,42.6,11000000,68234154,96,Released,"Horror, Mystery"
The Owners,en,8/27/2020,42.352,0,225374,92,Released,"Horror, Thriller"
Scream 4,en,4/11/2011,42.342,40000000,97231420,111,Released,"Horror, Mystery"
Crystal Skulls,en,8/12/2014,42.197,0,0,88,Released,"Adventure, Fantasy, Horror, Mystery, Science Fiction, TV Movie"
Aftermath,en,8/4/2021,42.146,0,0,114,Released,"Crime, Drama, Horror, Thriller"
Cursed,en,2/25/2005,42.103,35000000,19294901,97,Released,"Comedy, Horror"
Bloodthirsty,en,4/23/2021,42.073,0,0,82,Released,Horror
Psycho,en,6/22/1960,42.064,806947,50000000,109,Released,"Drama, Horror, Thriller"
Dawn of the Dead,en,3/19/2004,41.981,26000000,102278712,101,Released,"Action, Horror"
An American Werewolf in London,en,8/21/1981,41.806,10000000,31973249,97,Released,"Comedy, Horror"
The Other Side of the Door,en,2/25/2016,41.736,0,14332467,96,Released,"Horror, Thriller"
Us,en,3/14/2019,41.601,20000000,255105930,116,Released,"Horror, Mystery, Thriller"
The Nun,es,11/3/2005,41.512,0,0,101,Released,"Horror, Mystery"
Cannibal Holocaust,it,2/7/1980,41.435,100000,0,96,Released,Horror
Brightburn,en,5/9/2019,41.383,6000000,32893421,91,Released,"Horror, Science Fiction, Thriller"
The Rental,en,7/23/2020,41.323,0,4296804,88,Released,Horror
Army of Darkness,en,10/31/1992,41.242,11000000,21502976,81,Released,"Comedy, Fantasy, Horror"
Martyrs,fr,9/3/2008,41.212,6500000,1100000,99,Released,"Drama, Horror, Thriller"
Halloween H20: 20 Years Later,en,8/5/1998,41.178,17000000,75000000,86,Released,"Horror, Thriller"
P2,en,11/9/2007,41.167,3500000,7766240,98,Released,"Horror, Thriller"
Black as Night,en,10/1/2021,41.009,0,0,87,Released,"Horror, Thriller"
The Legend of the Nahuala,es,10/31/2007,40.963,0,0,80,Released,"Animation, Family, Fantasy, Horror"
Mermaid Down,en,10/15/2019,40.952,0,0,91,Released,"Fantasy, Horror, Mystery, Thriller"
The Mortuary Collection,en,10/8/2020,40.917,0,34265,108,Released,"Fantasy, Horror"
Sputnik,ru,9/8/2020,40.799,0,354023,113,Released,"Drama, Horror, Science Fiction"
Rise of the Mummy,en,4/3/2021,40.695,0,0,90,Released,"Horror, Science Fiction"
The Descent,en,7/8/2005,40.383,3500000,57130027,99,Released,"Adventure, Horror"
