title,original_language,release_date,popularity,budget,revenue,runtime,status,genres
Downrange,en,5/25/2018,21.33,0,0,90,Released,"Horror, Thriller"
Don't Knock Twice,en,2/3/2017,21.327,0,0,93,Released,Horror
The Uninvited,en,1/30/2009,21.284,0,41624046,87,Released,Horror
A Nightmare on Elm Street 3: Dream Warriors,en,2/27/1987,21.198,4000000,44800000,96,Released,"Horror, Thriller"
Zombie Apocalypse,en,10/29/2011,21.198,0,0,90,Released,"Action, Horror, Science Fiction"
The Bad Seed,en,9/9/2018,21.172,0,0,84,Released,"Drama, Horror, Thriller"
Fright Night,en,8/18/2011,21.17,30000000,41002607,106,Released,"Comedy, Horror"
The Eye,en,2/1/2008,21.115,12000000,58010320,98,Released,"Drama, Horror, Thriller"
The Fog,en,10/14/2005,21.112,18000000,46201432,100,Released,"Horror, Thriller"
The Haunting,en,7/23/1999,21.112,80000000,91188905,113,Released,"Fantasy, Horror, Mystery, Thriller"
The Last Exorcism,en,8/27/2010,21.06,1800000,67738090,87,Released,"Horror, Thriller"
I Am a Hero,ja,4/23/2016,21.06,0,0,126,Released,"Action, Drama, Horror"
From Dusk Till Dawn 2: Texas Blood Money,en,3/16/1999,21.001,5000000,0,88,Released,"Action, Crime, Horror, Thriller"
Mad God,en,6/16/2022,20.958,0,0,83,Released,"Animation, Fantasy, Horror, Science Fiction"
Behind the Trees,en,11/21/2019,20.944,0,0,87,Released,"Horror, Mystery, Thriller"
Let Me In,en,10/1/2010,20.924,20000000,24145613,116,Released,"Drama, Horror, Mystery"
A Nightmare on Elm Street: The Dream Child,en,8/11/1989,20.909,6000000,22168359,89,Released,"Horror, Thriller"
Scooby-Doo! and the Goblin King,en,9/23/2008,20.908,0,0,75,Released,"Adventure, Animation, Comedy, Family, Fantasy, Horror, Music"
Resident Evil: Degeneration,en,2/13/2008,20.906,0,0,97,Released,"Action, Animation, Horror, Science Fiction"
Werewolf: The Beast Among Us,en,10/9/2012,20.895,5000000,0,93,Released,"Drama, Horror, Thriller"
Dead Again in Tombstone,en,8/30/2017,20.89,0,0,99,Released,"Action, Fantasy, Horror, Western"
Snakes on a Plane,en,8/17/2006,20.872,33000000,62022014,105,Released,"Action, Crime, Horror, Thriller"
The Cave,en,8/26/2005,20.815,30000000,33296457,97,Released,"Action, Adventure, Horror, Thriller"
Devil's Due,en,1/8/2014,20.748,7000000,36433975,89,Released,Horror
Delirium,en,5/10/2018,20.746,0,0,96,Released,"Horror, Thriller"
Splatter: Naked Blood,ja,2/20/1996,20.708,0,0,76,Released,"Horror, Science Fiction"
Alien Abduction,en,4/4/2014,20.702,0,0,85,Released,"Horror, Science Fiction, Thriller"
Blade: House of Chthon,en,6/28/2006,20.662,0,0,89,Released,"Action, Horror, TV Movie"
Land of the Dead,en,6/18/2005,20.544,15000000,47074133,93,Released,"Horror, Science Fiction, Thriller"
Silent Night,en,11/30/2012,20.541,0,14567,94,Released,"Comedy, Horror, Mystery, Thriller"
Death Note,en,8/25/2017,20.539,40000000,0,101,Released,"Crime, Fantasy, Horror, Thriller"
In the Tall Grass,en,9/20/2019,20.521,0,0,102,Released,"Drama, Horror, Thriller"
Lake Placid,en,7/15/1999,20.488,27000000,56870414,82,Released,"Action, Comedy, Horror, Science Fiction, Thriller"
The Jurassic Games,en,5/21/2018,20.484,28000000,0,86,Released,"Action, Horror, Science Fiction"
Sleep Tight,es,10/14/2011,20.479,5000000,0,97,Released,"Horror, Thriller"
Fantasy Island,en,2/12/2020,20.453,7000000,47078545,109,Released,"Adventure, Fantasy, Horror, Mystery"
Snow White: A Tale of Terror,en,7/18/1997,20.427,26000000,0,100,Released,"Fantasy, Horror"
Sleepwalkers,en,4/10/1992,20.416,15000000,30524763,91,Released,"Fantasy, Horror, Thriller"
Cabin Fever,en,8/15/2003,20.364,1500000,30553395,93,Released,Horror
Teeth,en,6/17/2007,20.36,2000000,2340110,94,Released,"Comedy, Horror"
One Missed Call,en,1/4/2008,20.351,20000000,45847751,87,Released,"Horror, Mystery, Thriller"
Grimcutty,en,10/10/2022,20.317,0,0,0,Released,Horror
Witching & Bitching,es,9/20/2013,20.292,8000000,0,110,Released,"Comedy, Horror"
The Wailing,ko,5/12/2016,20.26,10951000,49851770,155,Released,"Horror, Mystery"
Village of the Damned,en,4/28/1995,20.256,22000000,9418365,99,Released,"Horror, Science Fiction, Thriller"
Eight Legged Freaks,en,7/17/2002,20.211,30000000,45867333,99,Released,"Action, Comedy, Horror, Thriller"
Patient Zero,en,9/14/2018,20.201,0,0,87,Released,"Action, Drama, Horror, Thriller"
Amityville II: The Possession,en,9/24/1982,20.16,5000000,12534817,104,Released,Horror
Ghost Stories,en,1/20/2018,20.157,0,135095,98,Released,"Drama, Horror"
Zombie Strippers!,en,4/18/2008,20.15,0,0,94,Released,"Comedy, Horror"
Dracula 2000,en,12/22/2000,20.145,28000000,47053625,99,Released,"Horror, Thriller"
The Ex,ru,3/11/2021,20.13,744835,0,90,Released,"Horror, Thriller"
Critters 2,en,4/29/1988,20.123,4500000,3813293,86,Released,"Comedy, Horror, Science Fiction"
Troll Hunter,nb,10/29/2010,20.083,3500000,4159678,103,Released,"Fantasy, Horror"
Psycho,en,12/4/1998,20.045,60000000,37141130,105,Released,"Horror, Mystery, Thriller"
Beneath,en,10/8/2013,20.021,89,0,89,Released,Horror
Polaroid,en,10/26/2019,20.017,0,0,5,Released,Horror
Aztech,en,11/20/2020,19.939,0,0,90,Released,"Fantasy, Horror, Science Fiction"
Stitches,en,5/19/2012,19.926,100000,95000,86,Released,Horror
Alien³,en,5/22/1992,19.883,50000000,159773545,114,Released,"Action, Horror, Science Fiction"
Boo 2! A Madea Halloween,en,10/20/2017,19.835,25000000,48333932,103,Released,"Comedy, Horror"
My Bloody Valentine,en,1/16/2009,19.81,15000000,102836002,101,Released,"Horror, Mystery"
The Imp,cn,1/1/1996,19.796,0,0,96,Released,Horror
End of Days,en,11/24/1999,19.738,100000000,211989043,121,Released,"Action, Fantasy, Horror, Mystery"
100 Candles,en,11/13/2020,19.697,0,0,100,Released,Horror
The Void,en,9/22/2016,19.684,0,151042,90,Released,"Horror, Mystery, Science Fiction"
Dead Calm,en,4/7/1989,19.681,10400000,7825000,96,Released,"Horror, Thriller"
13 Sins,en,4/18/2014,19.675,5000000,13809,93,Released,"Horror, Thriller"
